"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:08",0,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,-0.01,10.31,825.21,6.88,184.51,17.26,37.77,153.56,16549.64,103.59,53.2,59.61,5.16,20038.28,163.96,7.99,0.49,107.06,101.16
"S1:2","Standard 1","28-04-2025 14:12",1.61,1.59,0.16,0.16,1.5,1.46,0.82,0.82,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.14,6714.21,16100.02,3589.32,46361.94,162651.21,115434.42,38300.45,52999.1,271786.51,72063.77,71097.11,11447.3,94458.97,33801.85,457.42,173.08,68605.87,46442.01
"S1:3","Standard 2","28-04-2025 14:16",3.16,3.06,0.32,0.31,3.01,3.18,1.62,1.54,0.3,0.3,0.31,0.3,0.31,0.32,0.3,0.29,0.32,0.3,13093,32549.59,8208.57,92049.7,315254.78,234520.51,75944.75,85605.78,528459.82,141690.04,144900.41,23080.82,164473.04,68160.92,946.68,353.52,135848.51,92362.59
"S1:4","Standard 3","28-04-2025 14:20",6.61,6.57,0.66,0.62,5.96,5.83,3.18,3.22,0.62,0.65,0.62,0.6,0.63,0.62,0.62,0.58,0.6,0.64,27396.8,66984.8,14601.17,174251.74,647205.89,451615.69,169824.04,160668.66,1093364.95,288760.62,285575.19,47772.71,329825.49,151944.04,1809.44,737.59,273622.62,181065.15
"S1:5","Standard 4","28-04-2025 14:23",12.79,12.77,1.26,1.21,12.07,12.39,6.2,6.38,1.23,1.25,1.27,1.27,1.2,1.28,1.19,1.18,1.24,1.23,56340.91,125389.68,29129.9,345340.7,1279491.33,935005.5,352191.91,335444.65,1997712.18,574002.62,565884.82,91818.61,696498.35,312783.79,3827.9,1447.74,525630.66,381851.36
"S1:6","Standard 5","28-04-2025 14:27",26.3,26.36,2.45,2.59,24.81,24.05,12.86,12.33,2.52,2.57,2.53,2.53,2.59,2.36,2.39,2.5,2.56,2.57,101834.02,261866.88,53122.36,672748.31,2442611.88,1889025.17,745698.5,702269.02,4058250.05,1071418.53,1109478.01,172440.77,1369653.91,718122.93,7246.03,2934.36,1097120.33,743329.57
"S1:7","Standard 6","28-04-2025 14:31",52.49,48.28,4.8,5.25,48.98,50.47,"--","--",4.98,5.06,5.12,4.82,"--","--",4.97,5.13,4.99,4.84,211625.09,501072.76,112202.91,1363588.46,4778862.72,3617506.79,"--","--",7508602.52,2041904.74,2125898.14,336865.74,"--","--",15491.26,5651.22,2195971.16,1500246.46
"01:01","BLK 1","28-04-2025 14:36",3.02,5.01,4.47,4.17,43.35,45.58,1.64,8.27,0.85,0.81,0.2,0.19,5.69,5.44,0.48,"0.68 u",0.25,0.24,146.21,1319.39,1027.52,12162.84,47734.98,33271.48,1015.72,19235.97,13474.6,3793.08,923.85,149.12,47804.2,12676.03,22.15,8.48,1250.24,784.29
"01:02","BLK 2","28-04-2025 14:39",1.11,3.47,5.21,5.14,42.06,42.38,1.09,6.51,0.62,0.65,0.16,0.14,5.16,4.82,"0.22 u","-0.08 u",0.11,0.08,59.28,1187.53,1186.18,13732.61,45904.65,30948.57,741.98,19163.25,10824.95,2853.34,780.2,117.61,43429.16,12668.39,15.38,-0.5,607.04,321.26
"01:03","BLK 3","28-04-2025 14:43",0.56,1.98,3.5,3.45,38,41.26,0.76,6.65,0.37,0.37,0.15,0.15,2.99,2.77,"0.08 u","0.01 u",0.08,0.04,32.78,1017.81,807.77,9784.34,41651.28,31600.75,551.98,19719.21,5899.6,1702.05,763.17,99.74,34932.28,7006.6,10.47,0.65,428.04,214.39
"S1:8","QC MES 5 ppm","28-04-2025 14:47",5.12,5.1,4.85,4.68,4.83,4.91,5.21,5.07,4.87,4.67,4.95,5.04,5.17,4.82,4.79,4.63,4.72,4.78,21377.89,49073.22,102073.15,1289744.11,534447.68,361124.45,268014.1,249329.19,6960028.95,2134742.68,2179925.82,355910.1,2531627.07,1261623.82,15381.67,5619.17,2168318.65,1443640.66
"S1:9","SJS-Std","28-04-2025 14:51",79285.25,78508.45,20440.22,19286.6,38394.74,37855.78,24090.55,22823.94,15282.46,14919.16,576.87,587.29,13701.01,13837.88,640.16,835.09,3568.82,3450.65,32717.28,82427.43,46242.27,539185.8,405392.25,273139.37,118369.79,126566.25,2492561.22,676816.45,24898.23,4073.84,670762.77,319336.54,211.53,95.72,155547.14,103156.7
"S1:9","SJS-Std","28-04-2025 14:55",80415.62,81435.08,19561.1,19772.26,38856.16,39259.91,24205.61,22947.46,15039.23,15494.63,596.48,578.02,13108.73,13097.12,675.77,723.28,3457.65,3407.95,32130.36,77888.35,46102.51,547705.23,408379.39,289780.13,120816.38,118087.22,2516626.42,698049.15,25705.42,3989.88,694389.66,319726.54,207.23,79.82,154178.7,101156.42
"S1:9","SJS-Std","28-04-2025 14:59",82673.16,75672.62,19846.55,20256.31,36126.87,38982.97,23500.69,23139.15,16116.61,14818.39,555.86,577.96,12969.76,12924.55,674,774.9,3481.81,3363.04,34247.32,77592.51,47526.27,522165.83,389821.3,273766.17,121427.44,125444.53,2655385.74,685228.64,26363.81,4049.88,656481.25,315368.84,198.86,86.17,149308,100371.09
