"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 16:08",0,0,0,0,-0.01,0,0,0,0,-0.01,0,0,0.01,0,-0.01,0,0.01,-0.01,10.6,826.79,6.92,180.98,17.44,39.51,160.17,17039.63,102.24,49.24,57.02,5.37,19342.85,157.23,8.27,0.51,105.1,94.08
"S1:2","Standard 1","28-04-2025 16:12",1.52,1.58,0.15,0.17,1.56,1.43,0.79,0.82,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.14,0.15,0.16,6502.89,17442.02,3602.51,43568.99,172873.36,116017.36,37374.1,51508.1,277640.98,77527.3,69345.05,11577.25,92730.71,35660.57,470.88,173.65,66151.11,48929.07
"S1:3","Standard 2","28-04-2025 16:16",3.24,3.16,0.31,0.32,3.17,2.94,1.56,1.54,0.3,0.3,0.31,0.31,0.32,0.3,0.29,0.31,0.3,0.31,14097.12,32844.36,7841.74,91055.75,326011.49,245106.47,80496.71,89021.73,543410.25,140622.5,144495.15,22580.92,167466.18,72202.21,965.33,376.38,137218.83,91744.24
"S1:4","Standard 3","28-04-2025 16:20",6.36,6.54,0.64,0.61,6.38,5.94,3.22,3.26,0.6,0.6,0.62,0.64,0.64,0.6,0.62,0.6,0.61,0.64,28448.83,65739.07,15423.54,174215.41,700562.89,479822.36,159883.11,154348.38,1037411.32,296667.7,287467.23,47605.92,335248.66,155427.35,1982.19,702.73,265497.47,193619.12
"S1:5","Standard 4","28-04-2025 16:23",12.32,12.34,1.28,1.25,11.88,12.54,6.35,6.58,1.22,1.3,1.26,1.27,1.27,1.26,1.24,1.25,1.3,1.25,55993.16,128251.63,29181.05,348599.7,1324414.24,886903.77,367890.66,328780.05,2009295.67,585153.6,549637.09,92844.27,640748.39,318660.48,3750.02,1462.12,539148.37,382831.17
"S1:6","Standard 5","28-04-2025 16:27",25.81,25.89,2.39,2.54,24.86,24.2,12.6,12.89,2.52,2.46,2.6,2.49,2.59,2.45,2.35,2.52,2.52,2.4,109230.07,252710.48,54947.05,653980.72,2540338.61,1791247.29,706478.96,690324.79,4040871.7,1072685.42,1090939.26,177784.46,1353808.12,710668.77,7233.14,2867.15,1033843.69,730573.75
"S1:7","Standard 6","28-04-2025 16:31",52.87,51.82,5.15,4.87,46.98,49.33,"--","--",4.97,5.05,5.04,4.78,"--","--",5,5.03,5.06,4.95,212666.44,501428,111924.21,1307883.57,5024310.29,3660522.51,"--","--",7520255.98,2070066.71,2051449.26,363264.25,"--","--",14764.83,5704.97,2251640.66,1403188.89
"01:01","BLK 1","28-04-2025 16:36",3.12,5.22,4.24,4.31,42.44,44.62,1.61,8.55,0.84,0.8,0.2,0.19,5.63,5.21,0.49,"0.68 u",0.25,0.23,144.61,1419.69,981.93,12247.61,45306.99,32976.4,957.83,20714.28,14095.1,3991.73,942.05,139.26,46447.74,13589.13,21.73,8.11,1236.24,772.65
"01:02","BLK 2","28-04-2025 16:39",1.08,3.31,5.3,5,43.08,40.64,1.16,6.56,0.66,0.66,0.15,0.16,4.96,5,"0.22 u","-0.08 u",0.11,0.08,58.63,1205.69,1151.46,14143.4,44470.4,32349.66,701.32,18782.91,10377.3,3004.92,788.66,117.98,47600.87,11993.29,14.84,-0.46,602.53,341.9
