"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:38",-0.01,0,-0.01,-0.01,0,0,0.01,0.01,-0.01,0,0.01,0,0,0,0,-0.01,0.01,0,10.49,891.84,7.17,185.6,18.81,37.17,155.17,15456.99,103.05,52.35,59.93,5.41,20209.85,156.41,8.59,0.47,114.59,101.4
"S1:2","Standard 1","28-04-2025 14:42",1.55,1.62,0.16,0.16,1.45,1.51,0.79,0.77,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.15,6821.93,16117.5,3792.05,46636.86,164378.29,119474.58,38481.51,53807,261278.32,77763.45,74288.41,11833.35,94098.04,36069.53,458.79,172.55,67600.58,46529.51
"S1:3","Standard 2","28-04-2025 14:46",3.11,3.05,0.32,0.31,3.12,3.12,1.54,1.6,0.3,0.3,0.3,0.32,0.31,0.31,0.29,0.3,0.31,0.3,13213.22,32262.41,7573.51,88522.92,331696.75,226423.59,76239.91,83679.15,533614.99,153169.85,137596.95,22588.65,171841.99,68686.09,947.34,343.39,132594.41,95882.01
"S1:4","Standard 3","28-04-2025 14:50",6.32,6.37,0.61,0.62,6.13,5.96,3.07,3.33,0.65,0.62,0.64,0.63,0.59,0.62,0.63,0.59,0.62,0.61,27457.53,64717.89,15511.59,171665.24,673919.23,470215.56,160206.17,157352.7,1032062.8,304260.9,279137.56,44715.24,316811.93,151099.78,1984.29,706.03,276009.08,186431.75
"S1:5","Standard 4","28-04-2025 14:53",12.05,12.07,1.31,1.27,12.69,12.39,6.05,6.15,1.26,1.24,1.29,1.3,1.2,1.22,1.2,1.27,1.31,1.32,51630.82,127333.46,28490.7,340210.52,1370691.66,890815.34,340634.12,324772.66,2146571.81,557430.21,544649.19,86502.26,657260.4,314731.69,3621.95,1471.98,544439.34,366187.92
"S1:6","Standard 5","28-04-2025 14:57",25.08,24.28,2.5,2.4,25.57,23.63,12.28,12.52,2.38,2.6,2.45,2.44,2.46,2.58,2.36,2.53,2.39,2.58,104376.29,249592.19,53321.29,645118.09,2629991.6,1832403.65,725227.82,709507.6,3870515.74,1134297.41,1090762.41,179544.69,1438401.42,662529.02,7150.87,2676.71,1132826.8,726399.38
"S1:7","Standard 6","28-04-2025 15:01",51.39,50.95,5.14,5.15,48.67,48.64,"--","--",4.91,5.04,4.8,5.15,"--","--",4.79,4.83,5.15,5.05,220711.27,538073.92,112787.41,1440342.36,5031327.92,3351118.45,"--","--",7635666.87,2165899.21,2065851.72,361812.95,"--","--",15675.45,5887,2130499.58,1482327.68
"01:01","BLK 1","28-04-2025 15:06",3.18,5.35,4.46,4.1,42.87,44.93,1.76,8.68,0.85,0.86,0.2,0.2,5.63,5.19,0.5,"0.68 u",0.25,0.23,138.19,1325.02,991.91,12031.85,43455.91,31116.43,990.94,19630.94,14276.08,3728.47,978.51,149.96,48931.3,13114.45,21.82,8.23,1301.22,796.71
"01:02","BLK 2","28-04-2025 15:09",1.07,3.5,5.22,5.04,39.46,42.3,1.16,6.31,0.66,0.66,0.16,0.15,5.23,5.07,"0.22 u","-0.08 u",0.11,0.08,58.68,1175.88,1203.19,13763.93,42938.21,32172.99,699.16,19859.58,10572.89,2859.84,772.08,115.2,43892.45,12664.47,14.27,-0.5,596.9,315.97
"01:03","BLK 3","28-04-2025 15:13",0.56,1.95,3.52,3.44,40.87,40.34,0.77,6.23,0.37,0.37,0.15,0.13,2.82,2.91,"0.08 u","0.01 u",0.08,0.04,33.3,998.8,789.35,9721.39,42319.83,30429.33,524.68,19266.77,5931.05,1684.1,710.98,106.07,33858.46,7223.21,11.08,0.66,439.54,212.83
"S1:8","QC MES 5 ppm","28-04-2025 15:17",4.91,4.87,4.75,4.69,4.96,5.01,5.22,5.27,5.16,4.74,4.58,4.79,5.03,5.2,5.05,4.79,4.64,4.58,21014.29,52206.12,100239.12,1297367.77,502802.48,357405.06,271973.84,245390.8,7200722.54,2188513.57,2061814.31,353152.99,2529492.32,1188617.72,14776.46,5681.13,2122162.59,1467307.68
"S1:9","SJS-Std","28-04-2025 15:21",78603.33,81606.45,19647.23,19324.71,38732.91,36082.45,23272.13,24941.63,16002.64,15606.99,599.58,567.9,13416.58,12791.75,678.66,786.4,3485.22,3552.7,34344.31,79497.24,47009.29,529284.71,391033.41,283272.72,121484.66,120620.36,2637316.01,705025.48,25769.62,4269.46,693961.83,313108.76,209.06,93.75,154738.71,104629.49
"S1:9","SJS-Std","28-04-2025 15:25",75580.26,75252.71,20089.17,19060,37490.82,38632.84,23427.07,23305.32,15495.61,14848.73,578.26,561.55,13240.95,13517.78,701.07,731.08,3558.22,3358.59,35182.64,82212.49,46691.53,528928.58,386967.86,288811.27,123206.31,124852.71,2562362.85,720361.41,26999.81,4141.54,659636.97,329462.02,207.39,85.15,158817.73,108601.23
"S1:9","SJS-Std","28-04-2025 15:29",81179.1,78428.78,18930.28,20224.02,39192.15,38853.75,23478.98,22625.46,14759.48,15634.94,595,566.11,13181.11,13337.7,625.85,749.85,3427.37,3520.49,34324,82259.11,46395.16,541346.55,396488.19,280551,118469.74,117774.64,2625932.09,725227.49,27191.87,4213.42,655639.86,313738.53,198.74,85.07,153357.88,106766.05
"01:04","MCS 575","28-04-2025 15:33",78694.38,80663.11,1383.52,1464.48,37655.47,38259.18,26703.72,27131.29,7452.29,7126.85,739.73,742.29,4046.24,3927.08,408.38,433.95,4241.25,4441.74,84442.18,208662.22,8078.21,96228.72,1037214.1,742260.56,345165.3,314288.34,3072086.29,850018.25,80275.3,13266.11,544352.49,256772.14,305.32,129.81,491384.17,330550.35
"01:05","MCS 576","28-04-2025 15:37",78292.02,75944.28,2211.19,2195.01,39425.88,40568.09,24975.74,26048.06,9406.19,9047.56,668.13,691.49,6029.71,6228.08,696.65,800.66,4183.79,4160.7,86144.21,198137.06,13898.44,158789.48,1152563.32,804943.33,355388.26,334889.79,4135825.11,1181616.41,81879.32,12863.69,822908.57,408785.17,584.24,230.5,498514.65,317697.43
