"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 16:38",-0.01,0.01,0.01,0.01,-0.01,0,-0.01,-0.01,0,0,0,-0.01,0,0,0.01,0,0.01,0,9.95,896.33,7.49,188.18,17.87,37.44,165.17,15995.6,104.41,51.88,54.75,5.46,19458.96,162.51,7.97,0.48,107.32,96.42
"S1:2","Standard 1","28-04-2025 16:42",1.53,1.58,0.16,0.15,1.52,1.43,0.8,0.82,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.15,6945.27,17103.91,3930.82,47240.86,166046.35,116159.79,39846.36,51585.65,275885.44,71478.77,70678.18,11187.21,91906.65,35342.58,448.83,182.77,70448.45,44346.8
"S1:3","Standard 2","28-04-2025 16:46",3.25,3.12,0.31,0.31,3.02,2.97,1.54,1.57,0.32,0.31,0.3,0.32,0.32,0.31,0.29,0.3,0.32,0.3,13860.14,30678.6,8210.89,90678.72,322025.16,237321.67,79470.83,87975.14,546757.12,149114.99,136801.9,22516.07,173630.1,73564.55,946.27,358.52,135420.41,95166.63
"S1:4","Standard 3","28-04-2025 16:50",6.04,6.47,0.63,0.62,6.22,6.39,3.08,3.13,0.64,0.6,0.6,0.59,0.6,0.6,0.61,0.62,0.62,0.62,28364.28,66241.16,15124.41,176679.71,674986.56,455868.55,165757.6,157161.74,1046967.8,282752.6,275391.4,43598,339336.76,144037.44,1875.92,707.35,271046.52,183931.68
"S1:5","Standard 4","28-04-2025 16:53",13.25,12.63,1.22,1.2,11.93,12.36,6.19,6.6,1.26,1.27,1.28,1.22,1.25,1.19,1.25,1.18,1.22,1.24,51946.85,128842.11,27997.26,329484.4,1308134.65,903076.27,352345.11,331268.26,1961275.88,596857.24,542929.94,89930.29,648075.16,335836.94,3750.1,1488.23,573483.47,376736.28
"S1:6","Standard 5","28-04-2025 16:57",25.78,25.51,2.41,2.42,25.56,24.12,12.71,12.65,2.52,2.58,2.43,2.44,2.6,2.58,2.53,2.37,2.42,2.5,106835.83,263950.96,53458.36,695314.78,2442578.73,1781144.71,773952.15,703004.87,3759397.67,1065095.21,1135820.76,184181.32,1460199.14,672850.11,7165.66,2722.11,1099590.52,718291.85
"S1:7","Standard 6","28-04-2025 17:01",48.13,52.06,4.92,5.18,48.69,48.22,"--","--",4.89,5.24,4.85,4.8,"--","--",5.02,4.73,4.84,5.06,216051.82,497176.81,113073.54,1395604.51,4720987.56,3523387.74,"--","--",7184344.8,2160173.21,2184653.6,352933.77,"--","--",14688.2,5479.89,2152582.31,1403942.02
"01:01","BLK 1","28-04-2025 17:06",3.12,5.41,4.44,4.1,41.86,44.9,1.74,8.85,0.84,0.87,0.21,0.2,5.34,5.61,0.51,"0.68 u",0.25,0.22,141.38,1309.59,1006.24,12133.18,47501.77,33155.18,991.46,20003.18,14372.98,3622.53,1005.85,140.12,46266.15,12441.9,22.62,8.39,1182.79,746.3
"01:02","BLK 2","28-04-2025 17:09",1.14,3.18,4.85,5.12,41.61,42.56,1.15,6.28,0.65,0.64,0.15,0.14,5.22,4.98,"0.22 u","-0.08 u",0.12,0.08,58.75,1134.69,1177.6,14403.51,45359.37,31075.96,705.8,18910.27,10410.07,2937.51,750.6,121.16,44544.49,12813.69,14.22,-0.48,570.61,336.86
