"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:38",0.01,0,-0.01,0.01,0,0,0.01,0,0,0,0.01,-0.01,-0.01,0,0,0,0,0,9.7,843.99,7.28,179.57,17.82,36.31,160.36,16435.62,101.81,49.67,54.63,5.56,19531.71,152.46,8.57,0.49,110.06,98.67
"S1:2","Standard 1","28-04-2025 14:42",1.6,1.59,0.15,0.15,1.43,1.43,0.83,0.75,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,6455.83,17016.27,3811.21,44877.75,161710.48,122563.25,38704.22,50816.3,273513.46,77271.39,68133.79,12045.4,88224.65,35569.27,452.29,176.68,70392.09,44576.81
"S1:3","Standard 2","28-04-2025 14:46",3.05,3.06,0.31,0.32,3.17,3.13,1.5,1.64,0.3,0.32,0.3,0.32,0.31,0.32,0.3,0.31,0.3,0.3,13217.33,32904.46,8067.88,88315.05,341211.38,228389.53,81432.97,83442.52,520916.98,154198.84,137418.24,23048.73,165195.27,67519.34,942.67,378.16,130670.84,96873.52
"S1:4","Standard 3","28-04-2025 14:50",6.16,6.2,0.63,0.63,6.01,5.84,3.19,3.24,0.63,0.61,0.63,0.63,0.63,0.62,0.58,0.6,0.64,0.65,26097.88,66357.82,15184.15,170436.38,696009.3,493735.2,168984.01,165054.63,1033027.86,293181.67,274220.61,45939.56,338170.43,156791.9,1919.28,699.36,274764.13,182016.84
"S1:5","Standard 4","28-04-2025 14:53",12.3,12.21,1.26,1.31,11.99,12.48,6.13,6.2,1.25,1.22,1.24,1.27,1.2,1.21,1.2,1.28,1.31,1.29,54023.46,128880.56,28043.86,335896.89,1311905.54,942714.31,343663.98,332373.7,2060469.8,586794.56,538948.74,93195.94,666840.24,316236.65,3810.38,1405.67,544104.27,364654.8
"S1:6","Standard 5","28-04-2025 14:57",25.82,26.38,2.61,2.48,23.57,24.54,12.9,13.21,2.48,2.47,2.46,2.43,2.44,2.42,2.44,2.38,2.46,2.39,103782.86,244331.41,56386.27,689672.49,2591529.63,1808647.85,730677.35,706670.54,3977579.27,1056554.55,1081382.81,176777.52,1385790.86,715610.34,7550.75,2738.12,1084916.64,761137.65
"S1:7","Standard 6","28-04-2025 15:01",50.6,49.97,4.92,5.04,48.82,49.98,"--","--",5.18,4.95,4.98,4.8,"--","--",5.09,5.04,5.2,5.03,212574.91,500214.94,113863.4,1321255.09,4842191.68,3417428.63,"--","--",7446899.45,2231873.6,2071115.53,358886.13,"--","--",14935.56,5767.1,2221895.83,1415471.54
"01:01","BLK 1","28-04-2025 15:06",2.99,5.27,4.39,4.2,43.09,42.76,1.63,8.31,0.83,0.85,0.2,0.19,5.34,5.49,0.47,"0.68 u",0.25,0.23,147.32,1352.6,955.63,12170.21,45156.93,31881.71,1012.94,19558.43,13920.7,3727.27,965.75,148.54,46648.31,13083.61,22.55,8,1251.41,788.24
"01:02","BLK 2","28-04-2025 15:09",1.04,3.36,5.01,4.9,41.6,42.35,1.16,6.36,0.64,0.62,0.15,0.15,5.17,4.86,"0.22 u","-0.08 u",0.11,0.08,57.92,1143.83,1196.63,13707.34,44880.95,31646.94,727.44,19269,11207.25,3011.04,752.51,118.69,43545.27,12300.51,15.43,-0.47,563.73,330.67
"01:03","BLK 3","28-04-2025 15:13",0.53,1.97,3.58,3.51,38.59,40.55,0.81,6.68,0.36,0.36,0.14,0.14,3.03,2.7,"0.08 u","0.01 u",0.08,0.04,32.85,1083.81,818.02,9752.74,40254.81,31521.61,550.66,18712.58,6432.73,1783.32,735.52,104.81,33919.23,7276.2,11.09,0.62,461.51,211.81
"S1:8","QC MES 5 ppm","28-04-2025 15:17",4.7,4.76,4.86,4.36,4.78,4.67,5.44,5.44,4.97,4.64,4.63,5.01,4.82,4.98,4.89,4.85,4.91,4.9,20011.25,52131.57,101029.13,1284848.35,527740.66,357823.64,282275.74,262864.12,7065898.61,2039488.26,2062448.58,363348.77,2361596.47,1184438.98,15357.27,5644.12,2074350.31,1382549.52
"S1:9","SJS-Std","28-04-2025 15:21",80875.16,80587.45,19287.83,19047.36,38196.33,35685.72,23326.71,24830.62,16107.52,16254.14,604.48,580.72,12798.36,12945,673.56,831.59,3433.18,3437.1,34826.77,83845.7,47176.95,544957.39,420622.19,297596.01,119377.08,125794.57,2476099.31,731899.74,26306.27,3971.18,690058.48,334984.98,221.5,96.06,149277.77,106455.35
"S1:9","SJS-Std","28-04-2025 15:25",77751.58,76065.42,18899.35,19986.28,38128.74,35623.65,23466.7,22954.66,15746.8,14875.33,553.23,573.18,13707.2,12798.51,667.8,760.54,3620.63,3510.93,32998.62,79632.43,45516.76,527490.73,412615.53,278932.31,122124.24,124937.68,2515081.27,736828.1,25970.58,4346.31,683989.66,323627.62,218.39,82.43,158207.81,103240.2
"S1:9","SJS-Std","28-04-2025 15:29",83160.37,76438.08,18903.23,19249.99,36486.3,36712.15,24748.43,23851.71,16245.68,15859.03,586.8,574.22,13201.9,13364.52,684.8,802.26,3659.4,3512.86,35317.01,76853.83,46182.68,506175.74,395090.07,294200.56,124746.32,121723.61,2418326.01,725905.7,24706.11,4355.21,695482.53,306049.34,203.23,87.91,156722.12,102957.59
"01:04","MCS 575","28-04-2025 15:33",79738.76,82693.1,1480.96,1481.28,39466.35,37183.48,27536.25,27137.02,7499.74,7567.06,708.6,714.44,4102.58,3944.9,413.24,463.98,4376.14,4407.98,83547.61,198851.93,8486.69,101417.39,1046175.69,729743.6,344054.57,295766.13,3093608.26,825195.09,79624.74,13188.89,510300.96,256833.68,324.18,128.66,498943.01,317411.31
"01:05","MCS 576","28-04-2025 15:37",72390.5,72925.51,2086.18,2108.84,38663.22,38867.78,25602.38,25924.77,9580.56,9086.53,679.71,713.38,6439.21,6126.02,697.54,773.54,4275.66,4293.47,84164.87,194340.26,13069.13,150820.64,1142604.61,807971.61,333769.05,328434.56,3964735.22,1189124.59,84007.48,13124.93,816181.48,389451.59,580.4,222.63,467599.94,328550.55
"01:06","MCS 577","28-04-2025 15:41",90831.04,96790.94,1132.17,1202.63,46626.74,48032.2,30384.25,31108.95,8743.83,9247.78,328.76,316.93,3468.22,3608.91,511.7,602.04,5849.91,5608.41,98177.05,246618.1,7195.44,85528.35,1299500.68,938057.84,402485.96,384129.9,3627110.27,1121694.72,37534.17,5915.85,443413.21,207924.18,421.57,181.27,615880.82,435202.69
"01:07","MCS 578","28-04-2025 15:45",93575.98,93048.73,792.05,827.53,42553.73,40694.41,33132.05,32208.52,8126.87,8280.71,659.93,627.54,3250.99,3238.03,362.98,383.21,5272.46,4928.37,104374.59,264689.44,5209.43,66382.85,1180328.9,905401.61,468776.54,408495.73,3892179.8,1055897.83,80798.81,13201.03,487050.27,238534.51,293.4,113.02,600433.69,420348.49
"01:08","MCS 579","28-04-2025 15:49",73204.58,73918.85,1185.96,1140.77,33020.66,32084.1,23208.01,22895.05,6572.32,6590.12,600.46,604.12,3943.94,3964.86,403.63,413.38,4333.8,4471.17,88205.99,212680.87,7932.9,94791.15,974950.57,737269.55,357656.06,320442.14,3064736.86,872002.2,75032.19,12227.95,543580.34,257866.98,370.71,136.06,555807,374686.02
"01:09","MCS 580","28-04-2025 15:53",108268.85,103550.95,1405.29,1425.97,48630.74,50876.37,34751.63,36357.09,9674.26,9726.23,704.44,720.12,4062.62,4028.34,743.27,807.02,6500.7,6377.6,127037.1,301989.92,8585.87,109896.48,1443784.97,997267.02,472600.9,468642.25,4160146.01,1214023.43,86413.05,14181.04,551895.39,265046.89,614.92,258.52,751834.09,496962.84
"01:10","MCS 581","28-04-2025 15:57",92711.95,94489.98,1053.28,1072.1,47124.08,45513.29,33302.85,32209.46,8945.2,9474.31,529.37,548.42,4038.42,4010.65,428.97,452.59,5661.17,5531.44,98630.44,250129.74,6052.84,77327.66,1203311.03,870736.1,385071.22,363853.91,3680446.51,1014011.66,56575.03,9546.82,514615.13,252929.19,333.09,130.16,610955.29,414537.04
"01:11","MCS 582","28-04-2025 16:01",79739.85,80613.44,1406.79,1415.65,38525.79,41871.62,27380.36,25068.34,8254.02,8564.46,595.83,601.94,2990.13,3014.89,336.62,366.45,4995.82,4989,78316.55,190843.88,7505.37,92834.87,961523.15,715980.16,298926.23,288993.46,3173664.52,851524.71,58831.54,9330.9,343302.09,169011.48,234.13,102.56,471717.38,337013.67
"01:12","MCS 583","28-04-2025 16:05",87837.43,83915.07,1888.71,1871.45,42016.34,42260.35,26392.91,25939.83,7931.11,8167.24,486.9,482.05,5188.38,5398.12,583.35,577.37,4702.51,4975.03,93659.84,225729.13,11238.86,129469.28,1098776.78,772277.01,353983.85,315437.24,3392681.82,895681.87,53895.84,8903.11,684181.09,327999.42,450.38,175.7,544047.57,380748.57
