"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:38",0,0,0,0.01,-0.01,0.01,0,0,-0.01,0,0,-0.01,0,0,0,0,0,0,9.7,856.02,7.03,183.46,17.85,37.82,159.6,16701,105.98,51.6,58.85,5.54,20330.61,151.78,8.19,0.51,111.83,96.59
"S1:2","Standard 1","28-04-2025 14:42",1.63,1.53,0.16,0.16,1.45,1.52,0.78,0.76,0.15,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,6814.51,17189.55,3888.98,44785.95,165421.1,114177.25,39410.92,50628.45,276768.52,70472.61,70663.15,11803.1,94245.41,34647.9,469.5,177.08,67291.81,47461.66
"S1:3","Standard 2","28-04-2025 14:46",3.16,3.03,0.32,0.31,2.92,2.95,1.63,1.55,0.3,0.31,0.3,0.3,0.31,0.31,0.31,0.29,0.32,0.3,13069.64,33048.67,7701.35,84779.02,323737.13,237090.84,80900.93,83283.04,556201.21,141360.62,138312.03,23589.53,160412.4,71630.12,927.63,350.04,138388.2,90622.98
"S1:4","Standard 3","28-04-2025 14:50",6.18,6.21,0.6,0.64,5.91,6.16,3.19,3.26,0.64,0.61,0.6,0.62,0.6,0.61,0.59,0.62,0.65,0.63,25990.51,66013.51,14960.32,178244.71,638695.76,488657.8,168033.2,155009.09,1075690.1,302878.49,278821.5,46563.72,327605.58,152115.44,1805.69,676.16,271994.56,189267.64
"S1:5","Standard 4","28-04-2025 14:53",12.81,13.1,1.24,1.3,12.12,11.72,6.52,6.41,1.26,1.28,1.3,1.31,1.21,1.23,1.27,1.21,1.26,1.21,52686.25,131991.32,27703.28,333781.71,1331432.92,897744.41,356274.12,332655.25,2047637.32,588759.67,569133.41,93541.57,686602.74,322592.84,3694.05,1398.49,530441.56,363711.83
"S1:6","Standard 5","28-04-2025 14:57",24.2,25.35,2.39,2.42,23.57,24.4,12.8,12.09,2.59,2.43,2.48,2.51,2.48,2.36,2.35,2.46,2.55,2.55,101629.63,246004.55,54941.25,686557.02,2589127.85,1777716.43,744583.04,699108.19,3738626.86,1052901.42,1053182.02,172702.79,1328675.06,673131.87,7388.97,2928.27,1134503.97,760442.43
"S1:7","Standard 6","28-04-2025 15:01",52.17,50.45,4.87,4.84,47.93,48.67,"--","--",4.82,5.08,5.08,4.83,"--","--",5.03,5.04,5.21,5.08,202188.65,496764.81,112650.41,1405374.99,4840669.85,3588421.56,"--","--",7571452.35,2220341.96,2185459.37,365974.16,"--","--",15738.2,5900.99,2101519.6,1443697.21
"01:01","BLK 1","28-04-2025 15:06",3.11,5.34,4.07,4.26,41.06,43.55,1.68,8.79,0.87,0.85,0.2,0.2,5.78,5.12,0.47,"0.68 u",0.26,0.24,137.27,1368.44,988.72,12196.48,47603.93,31165.06,1035.54,20977.66,13199.27,3971.12,1001.9,146.43,44549.44,12405.83,22.94,8.25,1296.56,806.29
"01:02","BLK 2","28-04-2025 15:09",1.07,3.2,4.92,5.14,43.5,41.29,1.11,6.71,0.62,0.63,0.16,0.15,4.95,5.01,"0.22 u","-0.08 u",0.11,0.08,59.31,1151.65,1179.21,13640.26,47012.72,31502.95,709.45,18484.04,10597.44,2868.93,811.35,114.48,44387.28,11791.1,15.39,-0.49,614.07,324.43
