"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:38",0,0,0.01,0,0,0,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,0,0,0,-0.01,0,0,10.62,856.19,7.3,188.27,17.08,36.35,151.93,15636.57,101.05,50.98,58.06,5.22,19406.03,155.58,8.27,0.48,104.75,99.79
"S1:2","Standard 1","28-04-2025 14:42",1.63,1.57,0.16,0.15,1.53,1.43,0.77,0.76,0.15,0.16,0.16,0.16,0.17,0.15,0.16,0.15,0.15,0.15,6892.72,17055.57,3821.75,46990.76,167856.89,120863.57,37661.72,52112.17,257992.73,73799.69,73072.49,11169.92,89366.09,32929.19,484.04,182.78,69771.8,46485.42
"S1:3","Standard 2","28-04-2025 14:46",3.05,3.2,0.32,0.32,2.9,2.99,1.64,1.63,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.29,0.32,0.32,13740.97,32423.25,7663.44,90553.21,319073.06,239509.04,78644.32,87988.15,507365.72,139971.48,141482.72,23813.03,170557.28,71364.27,919.09,375.4,139745.35,95820.8
"S1:4","Standard 3","28-04-2025 14:50",6.27,6.55,0.65,0.6,6.1,5.95,3.09,3.16,0.64,0.65,0.65,0.59,0.59,0.61,0.59,0.62,0.61,0.64,27284.25,64269.36,14352.79,167577.64,676362.93,494251.68,159553.21,155957.25,1023405.43,301230.78,282384.65,45268.73,329994.86,143115.26,1858.94,683.29,264478.25,179342.14
"S1:5","Standard 4","28-04-2025 14:53",12.07,12.22,1.31,1.29,11.93,12.61,6.12,6.24,1.26,1.24,1.19,1.3,1.29,1.26,1.27,1.22,1.24,1.28,51505.41,124974.89,28074.07,325123.2,1335710.4,968443.64,362079.37,318631.39,1982460.06,580636.52,538430.44,95342.11,654534.35,308316.01,3647.75,1412.22,526038.49,358026.44
"S1:6","Standard 5","28-04-2025 14:57",24.19,24.27,2.59,2.44,25.56,23.59,12.22,13.12,2.61,2.48,2.51,2.46,2.41,2.55,2.41,2.47,2.57,2.53,106357.58,255700.09,53575.39,683232.15,2658053.84,1738742.24,761377.98,715582.63,3869790.12,1094483.23,1104123.55,183700.5,1348922,684132.92,7313.08,2689.09,1091779.7,765505.82
"S1:7","Standard 6","28-04-2025 15:01",49.52,49.5,5.21,4.86,48.35,48.79,"--","--",5.02,5.19,4.95,4.99,"--","--",5.15,4.82,4.96,5.21,221360.48,541422.61,108493.67,1429386.89,4975282.15,3485544.96,"--","--",7299908.37,2238970.37,2230457.92,354965.41,"--","--",14626.87,5704.09,2122236.78,1485543.94
"01:01","BLK 1","28-04-2025 15:06",3.07,5.23,4.33,4.49,41.22,43.15,1.7,8.55,0.83,0.82,0.21,0.2,5.7,5.46,0.49,"0.68 u",0.27,0.24,135.39,1319.38,948.21,12013.9,46541.94,32969.97,1000.09,20064.64,13803.67,3708.16,966.9,149.48,44973.46,13183.46,23.22,8.54,1220.39,798.35
"01:02","BLK 2","28-04-2025 15:09",1.09,3.29,4.96,5,42.64,42.33,1.16,6.65,0.64,0.65,0.17,0.15,4.95,5.02,"0.22 u","-0.08 u",0.11,0.08,58.35,1203.9,1183.53,14155.01,45623.44,30745.21,703.52,19034.99,10297.79,3080.08,750.03,115.93,43440.78,12614.33,14.47,-0.49,616.96,314.71
"01:03","BLK 3","28-04-2025 15:13",0.56,1.8,3.57,3.53,37.56,39.69,0.82,6.19,0.37,0.36,0.15,0.14,3,2.91,"0.08 u","0.01 u",0.08,0.04,33.53,1003.78,833.17,9223.21,43783.09,31513.38,535.96,18623.34,6184.6,1657.47,767.95,99.7,34440.35,7300.02,10.85,0.66,455.71,222.32
"S1:8","QC MES 5 ppm","28-04-2025 15:17",5.15,4.7,5.21,4.61,4.71,5.03,5.53,5.04,4.94,4.74,4.73,4.61,4.99,4.96,4.71,5.08,4.88,4.81,21440.61,47695.76,100347.84,1221254.28,524999.18,385504.56,277112.32,267927.68,7324608.97,2044163.07,2146047.82,336911.05,2501536.05,1234277.61,15765.15,5651.34,2087495.47,1419862.5
"S1:9","SJS-Std","28-04-2025 15:21",83434.95,78453.9,19365.62,20286.3,38532.14,36104.08,24994.2,23227.2,15232.36,14896.88,596.1,593.78,13657.62,13052.62,663.01,792.54,3403.09,3474,33030.2,77197.54,43872.95,514816.37,398732.9,287154.5,126294.56,129064.52,2485565.15,720654.29,26200.16,4089.5,669768.38,328459.39,216.86,97.66,160157.21,103173.31
"S1:9","SJS-Std","28-04-2025 15:25",80852.47,80574.93,20172.65,20135.98,36823.01,36884.95,24679.37,23226.59,15452.22,15452.28,563.71,553.43,12649.76,13588.65,677.14,758.18,3677.99,3647.33,33152.14,82118.88,46924.19,509884.39,420415.15,284433.35,119816.86,120145.42,2557478.96,735477.44,25420.02,3958.28,668153.38,328954.13,215.23,87.4,151618.84,107811.24
"S1:9","SJS-Std","28-04-2025 15:29",79589.58,75326.38,20572.7,20098.82,37731.97,36929.14,23040.93,24699.12,15446.64,16062.21,601.15,577.34,12551.68,12775.91,638.11,733.74,3701.51,3400.36,33160.05,77218.42,43899.42,544407.12,394552.45,277670.75,122232.8,120215.23,2499485.89,706797.16,27148.63,4242.26,697338.76,319574.42,206.29,91.24,158710.56,109713.41
"01:04","MCS 575","28-04-2025 15:33",80916.31,85194.1,1401.4,1400.79,39645,39022.93,26981.05,26844.25,6983.03,7505.49,739.6,711.52,4176.89,4094.78,405.36,448.61,4423.32,4410.31,84353.6,200857.4,7973.36,100618.33,1055927.13,755089.53,335692.24,321166.96,3021644.66,853096.26,78461.88,13674.54,519633.3,261632.53,330.91,130.69,464892.44,321520.66
"01:05","MCS 576","28-04-2025 15:37",74363.18,73154.82,2117.38,2250.35,39889.65,40374.55,26408.01,24401.85,9830.49,9185.36,674.5,687.18,6218.86,6383.81,695.04,802.47,4105.99,4325.69,87579.89,203736.43,12905.48,153786.12,1147454.76,818404.41,335558.34,311986.01,4014271.71,1156810.17,85266.46,13719.78,844450.02,408125.37,602.96,230.74,499768.59,339831.85
"01:06","MCS 577","28-04-2025 15:41",92703.69,92487.67,1144.21,1158.53,48772.47,48878.89,31396.42,31129.87,9503.58,9399.9,345.28,346.77,3590.52,3657.69,500.31,618.58,5694.47,5475.12,107082.53,234083.2,6667.17,84226.75,1236954.34,889406.83,400876.48,356943.53,3668427.74,1124265.08,39580.67,5874.01,439786.75,216946.63,419.85,180.87,615330.2,418691.87
