"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 15:08",0,0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,10.34,846.48,7.42,194.92,18.06,38.19,164.86,15734.15,101.94,52.33,57.46,5.64,19124.09,166.93,7.84,0.48,104.99,96.74
"S1:2","Standard 1","28-04-2025 15:12",1.63,1.63,0.17,0.16,1.55,1.56,0.75,0.76,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,6493.79,16020.02,3951.93,45163.86,168633.76,116222.85,37111.07,53648.94,258361.6,75008.26,71589.34,11219.2,89881.98,35527.91,468.43,172.86,67579.47,45797
"S1:3","Standard 2","28-04-2025 15:16",3.19,2.99,0.3,0.31,2.94,3.14,1.62,1.52,0.3,0.33,0.31,0.3,0.3,0.31,0.3,0.29,0.32,0.32,13990.57,31424.94,7994.28,91944.79,321284.35,230391.81,77529.62,85411.08,527364.05,146055.22,143748.84,22071.09,163077.75,70956.29,940.29,370.85,141655.85,95424.19
"S1:4","Standard 3","28-04-2025 15:20",6.61,6.59,0.63,0.65,6.08,6.18,3.03,3.04,0.61,0.65,0.65,0.63,0.62,0.64,0.58,0.63,0.6,0.61,26454.5,61712.19,15103.51,176243.35,668533.5,484672.21,160528.35,162356.01,1029367.74,289056.26,286525.74,45193.24,328606.42,147518.98,1984.69,673.98,282895.85,180649.6
"S1:5","Standard 4","28-04-2025 15:23",13.28,12.42,1.27,1.24,11.72,11.73,6.41,6.26,1.22,1.3,1.3,1.27,1.26,1.28,1.28,1.23,1.21,1.31,56499.44,130424.23,27739.82,347382.54,1243882.15,977121.92,357927.73,338079.83,2067480.7,565628.22,553464.47,92258.92,654543.92,313001.69,3630.46,1427.62,546083.91,361868.07
"S1:6","Standard 5","28-04-2025 15:27",25.6,24.45,2.46,2.57,25.3,23.54,12.81,12.05,2.61,2.52,2.58,2.54,2.52,2.52,2.53,2.37,2.55,2.53,108879.93,260008.15,56909.34,654175.28,2602376.28,1824607.48,746858.68,652042.48,3945688.63,1054196.3,1124342.64,184797.84,1389258.72,708026.25,7557.92,2836.74,1127986.36,759747.92
"S1:7","Standard 6","28-04-2025 15:31",49.38,51.37,5.25,5.03,51.15,51.38,"--","--",5.16,4.82,5.1,4.76,"--","--",5.07,4.75,5.17,5.09,213368.96,504291.03,113074.6,1307231.19,4720519.77,3553202.49,"--","--",7636980.52,2137859.93,2219021.1,360107.3,"--","--",14809.76,5920.88,2064374.96,1503186.57
"01:01","BLK 1","28-04-2025 15:36",3.08,5.2,4.35,4.1,43.04,45.03,1.65,8.46,0.86,0.82,0.19,0.2,5.24,5.61,0.51,"0.68 u",0.27,0.23,137.45,1311.28,984.58,11565.8,45278.37,33185.74,1035.21,21036.77,13643.36,3681.24,992.1,141.66,48141.98,12884.79,22.17,8.64,1270.57,741.53
"01:02","BLK 2","28-04-2025 15:39",1.07,3.36,5.07,4.99,40.61,43.59,1.08,6.48,0.65,0.6,0.17,0.16,5.28,5.04,"0.22 u","-0.08 u",0.11,0.08,59.04,1208.92,1224.05,13666.61,44807.26,31019.79,741.71,20084.04,10857.79,2909.97,786.4,117.61,44590,12074.99,14.85,-0.47,616.3,328.55
"01:03","BLK 3","28-04-2025 15:43",0.55,1.82,3.51,3.48,39.59,38.7,0.78,6.52,0.36,0.36,0.16,0.14,3,2.69,"0.08 u","0.01 u",0.08,0.04,33.75,1015.39,778.08,9675.07,40917.09,29385.92,553.66,18223.14,6146.04,1776.46,735.06,102.66,32730.1,6956.98,11.11,0.63,427.44,223.04
"S1:8","QC MES 5 ppm","28-04-2025 15:47",5.13,5.11,4.96,4.5,4.69,4.75,5.5,5.11,5.17,4.72,4.81,4.72,4.94,4.81,4.74,4.83,4.82,4.62,21615.65,51472.31,108159.97,1301659.8,520007.9,365741.38,275600.07,254757.04,7606961.07,2035711.3,2042877.43,352254.55,2421139.17,1193410.35,14939.02,5774.13,2126303.68,1407138.39
"S1:9","SJS-Std","28-04-2025 15:51",80155.94,75233.39,18728.7,18669.56,37551.41,36339.95,23428.28,23855.75,15434.79,15116.5,583.78,582.28,12752.26,13450.1,680.53,809.1,3650.91,3639.95,32512.04,79690.06,45880.29,502447.89,407332.48,291943,120018.46,124262.07,2641580.56,673693.16,27153.72,4096.58,670973.58,339278.41,217.05,90.72,151158.14,105201.33
