"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 16:08",0.01,0.01,-0.01,0.01,0,0,-0.01,-0.01,-0.01,0,-0.01,0.01,0.01,0,0,0,-0.01,0,10.06,898.93,6.96,179.82,18.72,38.47,163.78,16463.45,106.2,50.25,58.79,5.18,20319.4,154.23,8.38,0.5,113.33,95.75
"S1:2","Standard 1","28-04-2025 16:12",1.64,1.62,0.16,0.16,1.43,1.51,0.82,0.8,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.15,6839.12,16815,3733.91,43691.21,171771.52,116374.8,38215.03,49696.99,266894.79,76160.14,69536.7,11746.65,96059.13,34698.17,443.19,176.64,70876.25,48929.06
"S1:3","Standard 2","28-04-2025 16:16",3.04,3.04,0.3,0.31,3.14,3.02,1.58,1.53,0.3,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.31,0.3,13167.89,32690.28,8013.52,85215.41,327017.79,239042.21,78868.02,83634.01,556122.04,140422.84,145119.03,21917.48,171788.08,69182.8,948.27,357.54,139552.4,93563.39
"S1:4","Standard 3","28-04-2025 16:20",6.6,6.43,0.64,0.65,5.99,6.1,3.32,3.07,0.61,0.65,0.62,0.62,0.6,0.61,0.6,0.6,0.62,0.61,26610.75,63549.96,14649.16,170255.68,643667.5,492231.8,161921.08,163108.25,1022854.55,299111.41,276530.77,45248.72,339648.92,142805.48,1926.86,698.37,274179.9,191791.88
"S1:5","Standard 4","28-04-2025 16:23",12.1,12.82,1.28,1.26,12.23,11.8,6.58,6.17,1.21,1.29,1.27,1.22,1.21,1.28,1.2,1.26,1.27,1.28,53889.31,126626.46,28863.76,354294.68,1268769.95,929748.61,337925.49,318208.86,1969848.18,546703.73,546674.31,90889.73,673353.15,330047.39,3973.93,1408.95,572955.08,370580.65
"S1:6","Standard 5","28-04-2025 16:27",25.46,24.32,2.56,2.45,25.36,24.51,12.9,12.77,2.61,2.47,2.5,2.51,2.48,2.53,2.46,2.53,2.38,2.53,103462.28,244029.24,53810.8,667839.28,2596200.78,1734187.61,756114.17,668751.78,3739908.57,1148629.19,1062211.65,175969.95,1456879.32,707442.02,7251.55,2773.05,1071106.66,768481.83
"S1:7","Standard 6","28-04-2025 16:31",50.58,52.36,4.96,5.18,47.24,47.93,"--","--",4.9,5.22,4.95,5.19,"--","--",5.11,4.86,5.02,5.17,203578.83,521347.9,110681.36,1389861.99,4923141.18,3440270.62,"--","--",7003178.1,2078448.44,2131382.69,366958.41,"--","--",15656.36,5705.05,2126017.75,1472575.87
"01:01","BLK 1","28-04-2025 16:36",3.27,4.96,4.34,4.33,44.38,43.29,1.71,8.5,0.84,0.81,0.2,0.19,5.36,5.48,0.49,"0.68 u",0.26,0.24,137.81,1431.5,1017.13,11693.81,46860.54,34009.64,1025.65,21091.68,13698.92,3683.67,1009.3,144.39,45081.92,13437.53,23.67,8.36,1236.34,765.06
"01:02","BLK 2","28-04-2025 16:39",1.06,3.48,4.97,5.23,42.58,40.8,1.06,6.77,0.67,0.64,0.16,0.15,4.92,4.76,"0.22 u","-0.08 u",0.11,0.08,57.75,1243.07,1164.32,14070.39,47069.65,31061.06,715.16,18886.25,10418.92,2929.37,815.25,112.23,46259.87,12189.04,15.54,-0.5,607.09,342.06
