"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 15:38",-0.01,0.01,0.01,0.01,0,0.01,0,-0.01,0,0,-0.01,0,0.01,0,0,0,-0.01,0,10.22,855.23,7.12,184.78,18.79,36.44,151.8,16824.23,101.65,49.59,58.78,5.5,19218.63,157.07,7.92,0.5,107.42,94.73
"S1:2","Standard 1","28-04-2025 15:42",1.57,1.63,0.17,0.16,1.5,1.55,0.76,0.76,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,6731.12,15868.18,3587.46,43913.69,169740.97,114836.35,38722.28,54100.22,270419.55,71505.64,69137.95,11983.48,89162.72,33870.83,474.46,184.58,70838.89,45474.88
"S1:3","Standard 2","28-04-2025 15:46",3.2,3.23,0.31,0.31,3.17,3.08,1.62,1.56,0.3,0.31,0.3,0.3,0.32,0.3,0.3,0.31,0.32,0.32,13067.96,32075.45,8004.42,87280.2,342609.87,242192.51,75053.87,86323.36,539699.19,142227.83,146546.79,22102.88,167514.89,69748.02,987.01,376.73,140822.28,90488.67
"S1:4","Standard 3","28-04-2025 15:50",6.45,6.15,0.64,0.64,5.94,6.3,3.07,3.29,0.61,0.66,0.6,0.64,0.63,0.62,0.6,0.63,0.63,0.64,25862.72,66035.08,14730.88,166427.74,646201.36,493353.63,173449.61,154384.63,1037702.58,300191.07,291092.79,44303.94,320464.91,146916.3,1910.28,698.76,280873.07,196139.85
"S1:5","Standard 4","28-04-2025 15:53",12.33,12.36,1.2,1.21,12.85,12.42,6.11,6.22,1.29,1.3,1.25,1.2,1.22,1.2,1.17,1.18,1.27,1.25,55729.7,127834.8,28803.28,322304.2,1249052.73,931897.49,350692.82,344020,2065290.9,581162.92,583932.2,87894.79,662175.4,306357.2,3727.54,1437.66,577732.69,363704.06
"S1:6","Standard 5","28-04-2025 15:57",24.75,25.05,2.48,2.4,24.64,25.05,13.18,12.65,2.47,2.57,2.55,2.49,2.49,2.43,2.5,2.48,2.51,2.55,110043.69,256163.32,54325.24,683267.96,2489470.53,1795965.47,752160.75,718418.04,3858939.95,1105818.46,1140773.83,173302.54,1339533.2,701063.14,7429.45,2878.95,1065276.53,760924.69
"S1:7","Standard 6","28-04-2025 16:01",51.24,50.19,5.09,4.87,48.51,47.52,"--","--",5,5.17,4.88,5.03,"--","--",4.94,4.84,5.19,5.19,204052.38,520066.71,108732.35,1430899.08,4695321.02,3479528.21,"--","--",7111610.68,2099073.67,2101776.1,362571.3,"--","--",15460.86,5907.18,2103774.25,1454335.34
"01:01","BLK 1","28-04-2025 16:06",3.26,5.22,4.33,4.29,42.84,44.32,1.67,8.38,0.84,0.85,0.2,0.19,5.58,5.45,0.48,"0.68 u",0.25,0.22,137.42,1440.51,950.62,11613.97,47039.18,32108.06,992.51,20742.07,13943,3886.85,961.82,147.17,47393.43,13201.89,23.77,8.1,1264.47,808.22
"01:02","BLK 2","28-04-2025 16:09",1.07,3.34,5.14,5.09,41.47,43.46,1.12,6.56,0.65,0.61,0.16,0.14,4.99,4.79,"0.22 u","-0.08 u",0.11,0.08,58.07,1220.81,1246.13,14659.79,46221.74,32854.75,718.63,19323.08,10956.45,2997.93,793.32,111.85,44684.81,12309.2,14.85,-0.47,579.39,340.59
