"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:08",0,0.01,0.01,0,0,0.01,0,-0.01,0.01,0,0.01,0.01,-0.01,0.01,0.01,0,0,0,9.69,879.98,7.15,180.12,17.64,37.46,161.55,16769.65,101.15,52.11,59.26,5.33,20720.68,163.09,7.82,0.51,110.55,92.55
"S1:2","Standard 1","28-04-2025 14:12",1.61,1.65,0.15,0.16,1.55,1.51,0.8,0.75,0.17,0.16,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,7060.09,15877.93,3623.36,44083.52,176345.89,117981.71,37684.46,51433.94,265773.31,75466.45,72561.58,12021.57,95441.9,34980.33,445.22,174.56,65838.51,48785.84
"S1:3","Standard 2","28-04-2025 14:16",3.26,3.18,0.32,0.31,3.02,3.02,1.56,1.64,0.3,0.3,0.32,0.3,0.31,0.31,0.29,0.31,0.32,0.31,13055.04,32876.12,7756.1,90945.59,315015.52,238345.69,76156.16,89752.29,554636.27,142876.89,142992.27,23563.25,166815.18,67088.61,950.89,351.58,140235.83,95336.75
"S1:4","Standard 3","28-04-2025 14:20",6.04,6.35,0.62,0.6,6.24,6.43,3.03,3.13,0.65,0.66,0.64,0.65,0.62,0.59,0.63,0.59,0.65,0.62,26885.2,67350.63,14767.28,168096.66,649899.71,485992.52,173752.29,155024.93,1028030.26,290658.48,288943.97,47883.34,334775.33,151847.7,1883.26,738.85,287747.63,182494.07
"S1:5","Standard 4","28-04-2025 14:23",12.15,12.97,1.32,1.3,12.23,11.8,6.61,6.19,1.29,1.28,1.29,1.28,1.23,1.21,1.19,1.26,1.25,1.28,54325.57,128870.97,29712.03,350062.34,1369387.51,953222.48,363020.96,338166.02,2049810.85,568063.71,539813.12,92767.59,696195.14,316085.29,3902.1,1439.86,556604.66,358442.02
"S1:6","Standard 5","28-04-2025 14:27",25.39,24.5,2.62,2.49,23.62,23.42,12.64,13.11,2.56,2.42,2.54,2.38,2.53,2.5,2.52,2.56,2.41,2.51,105838.3,251945.12,56195.32,656732.45,2588156.4,1869818,714568.91,693977.72,3806311.8,1161768.95,1071595.76,176837.5,1457987.68,653615.41,7573.12,2762.5,1104688.75,767910.62
"S1:7","Standard 6","28-04-2025 14:31",51.14,49.85,4.85,5.29,48.56,51.31,"--","--",4.79,4.85,4.79,4.77,"--","--",5.08,4.77,5.26,4.89,209442.71,543360.36,109929.69,1316022.76,5014664.27,3385106.35,"--","--",7548336.47,2082209.51,2084539.49,338991.06,"--","--",14551.02,5815.71,2177016.29,1478759.51
"01:01","BLK 1","28-04-2025 14:36",3.16,5.27,4.11,4.09,43.07,43.33,1.72,9.11,0.84,0.86,0.2,0.21,5.3,5.5,0.51,"0.68 u",0.27,0.22,136.83,1392.43,983.21,11699.94,44884.93,33441.18,949.91,19856.77,13157.76,3846.14,930.22,149.28,47312.33,13349.87,22.17,8.29,1275.87,811.55
"01:02","BLK 2","28-04-2025 14:39",1.05,3.45,5.15,4.89,39.99,39.81,1.12,6.74,0.62,0.62,0.16,0.14,5.25,4.98,"0.22 u","-0.08 u",0.11,0.08,58.14,1249.36,1261.92,14022.72,44889.59,32879.5,702.75,19606.91,11174.64,3072.29,757.47,122.41,45871.03,12130.51,15.37,-0.46,607.36,322.53
