"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 14:08",-0.01,0,0,0,0,-0.01,0,-0.01,0,-0.01,-0.01,-0.01,0.01,-0.01,0,0,0,-0.01,10.39,842.84,7.27,189.71,17.68,38.34,163.97,16492.92,98.81,51.58,58.09,5.34,20691.42,153.5,8.62,0.5,106.16,98.61
"S1:2","Standard 1","28-04-2025 14:12",1.65,1.52,0.16,0.16,1.54,1.42,0.76,0.77,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,6661.69,16327.31,3711.61,45297.34,172537.5,116787.53,39974.43,53651.46,277728.03,71720.32,68037.51,11101.61,90576.54,33863.48,480.57,182.64,68856.39,48112.47
"S1:3","Standard 2","28-04-2025 14:16",3.04,3.05,0.31,0.3,3.15,3.1,1.63,1.53,0.31,0.3,0.31,0.31,0.31,0.32,0.3,0.3,0.32,0.31,13472.35,30933.2,7535.64,91098.74,318926.96,224234.77,78960.23,84151.57,549217.62,154145.41,134518.68,22466.72,160924.11,70884.06,969.22,377.73,141224.52,90853.41
"S1:4","Standard 3","28-04-2025 14:20",6.11,6.52,0.62,0.64,6.3,6.11,3.2,3.26,0.64,0.66,0.65,0.62,0.61,0.65,0.59,0.59,0.65,0.65,27765.3,62058.38,14717.4,168987.64,690695.82,475131.29,159122.52,154128.19,1004909.59,292579.91,281163.78,44114.75,317137.13,154578.49,1954.95,682.93,273323.11,188316.83
"S1:5","Standard 4","28-04-2025 14:23",12.41,12.96,1.27,1.32,12.44,12.31,6.58,6.58,1.2,1.22,1.19,1.22,1.19,1.2,1.21,1.19,1.24,1.25,54244.56,128414.88,28880.54,355534.85,1365654.44,927360.19,364308.82,338742.31,1999578.87,574593.65,545168.92,89308.69,659702.8,334499.22,3700.51,1384.5,549339.23,377599.21
"S1:6","Standard 5","28-04-2025 14:27",25.65,25.52,2.45,2.52,24.02,25.56,13.13,12.77,2.44,2.54,2.46,2.57,2.58,2.51,2.33,2.43,2.49,2.53,101898.37,253541.58,55807.17,639989.18,2422628.22,1876931.08,702917.81,678978.07,3792712.1,1067902.73,1132928.87,171545.1,1420895.29,711810.1,7308.96,2880.35,1128073.66,745134.22
"S1:7","Standard 6","28-04-2025 14:31",51.79,49.19,4.93,5.27,51.24,50.56,"--","--",5.14,5.03,4.81,5.07,"--","--",4.67,4.7,5.25,5.24,209286.43,516191.99,113638.85,1326280.86,4681384.15,3652523.56,"--","--",7493745.97,2138036.79,2189054.99,344580.19,"--","--",15211.32,5482.92,2251378.31,1433424.42
"01:01","BLK 1","28-04-2025 14:36",3.24,5.15,4.29,4.28,41.28,42.27,1.68,8.62,0.81,0.84,0.2,0.21,5.45,5.15,0.48,"0.68 u",0.26,0.24,136.06,1396.62,959.69,11154.76,47336.75,33653.79,1041.58,20133.46,13954.04,3935.31,920.19,149.41,47984.15,13061.65,22.71,8.52,1185.42,771.3
"01:02","BLK 2","28-04-2025 14:39",1.07,3.43,5.29,5.05,41.7,41.3,1.13,6.46,0.66,0.66,0.15,0.15,4.97,4.68,"0.22 u","-0.08 u",0.11,0.08,54.45,1249.01,1208.08,13686.16,44922.17,30999.95,686.45,18477.37,10357.75,2996.28,817.42,120.29,44006.4,12758.92,14.74,-0.49,584.09,327.5
"01:03","BLK 3","28-04-2025 14:43",0.57,1.8,3.5,3.54,38.02,41.28,0.74,6.42,0.37,0.37,0.15,0.14,3.01,2.79,"0.08 u","0.01 u",0.08,0.04,32.06,1083.98,797.48,9953.6,41498.1,30850.35,535.99,20075.87,5935.67,1708.06,731.08,103.22,34556.75,7229.91,10.91,0.61,424.61,220.34
"S1:8","QC MES 5 ppm","28-04-2025 14:47",4.78,4.97,5.13,4.53,4.84,4.74,5.67,5.09,5.09,4.88,4.56,4.84,4.93,4.82,4.82,5.1,4.69,4.7,21516.73,49504.32,110290.9,1294891.29,531331.49,359766.29,262662.77,254046.53,7189251.26,2185295.09,2185922.85,345737.31,2569078.6,1201608.97,14385.48,5873.6,2104495.32,1474551.65
"S1:9","SJS-Std","28-04-2025 14:51",79037.61,77602.65,20485.14,19342.35,37160.82,36534.57,24011.37,24399.41,15533.54,15228.97,551.56,565.66,12602.17,13819.24,688.3,809.87,3698.01,3451.16,33768.24,84014.41,47396.58,532301.3,388522.1,272611.08,127712.13,120987.36,2467928.07,673122.14,26346.12,4146.3,692975.04,316526.2,216.67,97.79,156018.24,106300.47
