"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 15:38",0.01,0,0.01,-0.01,0,-0.01,0.01,0.01,-0.01,0,0,-0.01,0.01,-0.01,-0.01,-0.01,-0.01,0,10.59,898.51,7.08,179.6,17.93,39.13,154.24,16019.26,107.17,48.68,54.96,5.17,19718.05,159.62,8.27,0.49,108.13,99.62
"S1:2","Standard 1","28-04-2025 15:42",1.6,1.62,0.16,0.15,1.46,1.53,0.75,0.77,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,6828.71,17118.51,3778.48,43936.19,159598.78,114071.51,39177.11,52879.06,265674.2,70624.29,67808.03,11114.12,89636.35,35807.89,483.83,171.82,68753.38,48561.77
"S1:3","Standard 2","28-04-2025 15:46",3.2,3.16,0.32,0.3,2.94,3.01,1.59,1.64,0.32,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.3,13621.4,33464.23,8012.83,86232.3,329753.77,234375.53,77196.99,87199.07,546416.7,146405.93,146728.17,22421.55,165571.94,70172.09,957.28,342.59,141172.1,94500.23
"S1:4","Standard 3","28-04-2025 15:50",6.33,6.51,0.62,0.63,6.35,6.21,3.09,3.12,0.63,0.66,0.61,0.61,0.64,0.62,0.62,0.59,0.6,0.62,27725.01,62385.71,14313.48,170197.26,676822.52,492181.76,164138.45,167720.72,1092194.84,284638.95,295918.68,44973.37,321963.75,150267.92,1954.92,686.19,277146.31,186329.52
"S1:5","Standard 4","28-04-2025 15:53",12.87,12.39,1.22,1.29,12.86,11.8,6.32,6.51,1.31,1.27,1.25,1.2,1.27,1.31,1.22,1.21,1.29,1.32,52643.39,134687.43,27509.85,325657.79,1326982.73,912954.92,362488.89,327787.08,2110917.22,588005.18,558283.87,87420.22,671247.07,308446.71,3945.68,1410.4,556137.25,389257.72
"S1:6","Standard 5","28-04-2025 15:57",24.77,24.09,2.43,2.61,24.77,24.32,12.52,12.7,2.53,2.6,2.45,2.37,2.45,2.41,2.46,2.38,2.48,2.43,109526.03,249561.85,56349.64,644124.3,2593252.47,1745326.97,727656.25,711296.55,4000058.72,1065781.31,1114570.16,183599.25,1334756.21,697226.85,7842.87,2907.81,1067741.63,762060.1
"S1:7","Standard 6","28-04-2025 16:01",50.18,51.27,5.28,5.21,49.43,49.93,"--","--",5.14,4.77,5.05,4.97,"--","--",5.04,4.93,5.23,4.93,204164.53,492967.64,107445.8,1417740.06,5014148.44,3498443.68,"--","--",7006673.11,2210330.97,2199816.01,342945.99,"--","--",14595.08,5856.78,2081900.6,1479968.23
"01:01","BLK 1","28-04-2025 16:06",3.15,5.09,4.24,4.47,44.51,43.88,1.74,8.91,0.85,0.87,0.19,0.19,5.3,5.45,0.49,"0.68 u",0.27,0.23,139.92,1441.12,994.07,11313.7,45744.14,32827.65,1024.29,19299.8,14097.64,3722.75,984.32,146.11,44893.88,12997.82,21.85,8.51,1219.67,770.52
"01:02","BLK 2","28-04-2025 16:09",1.08,3.39,4.95,4.85,43.29,42.65,1.14,6.5,0.65,0.62,0.17,0.15,5.33,4.74,"0.22 u","-0.08 u",0.1,0.08,57.99,1201.81,1254.72,13687.23,46558.04,33274.6,707.32,19810.33,10355.51,2939.15,817.97,114.61,46374.28,12362.91,15.46,-0.48,613.31,340.78
