"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 15:08",0,-0.01,-0.01,0.01,0,-0.01,0,0.01,0,0,0,0.01,-0.01,0,0,0,0,-0.01,10.26,861.13,7.13,192.37,18.23,38.62,154.36,16598.64,101.51,49.93,55.02,5.47,19521.25,153.56,7.89,0.51,106.64,93.67
"S1:2","Standard 1","28-04-2025 15:12",1.55,1.6,0.16,0.16,1.52,1.55,0.82,0.75,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,6609.77,16836.33,3752.99,45267.35,167250.87,113345.99,38770.71,51028.53,262373.28,75693.03,74023.86,12114.08,88125.9,35292.39,481.6,181.52,66337.48,46342.23
"S1:3","Standard 2","28-04-2025 15:16",3.12,3.04,0.32,0.32,3.11,3.13,1.53,1.58,0.31,0.32,0.3,0.32,0.3,0.31,0.31,0.3,0.3,0.31,13765.76,31430.29,7976.9,85654.24,318581.64,224521.55,75090.36,87868.85,520197.42,152904.76,144834.6,22461.6,167492.74,71690.38,940.41,374.85,136211.6,93117.95
"S1:4","Standard 3","28-04-2025 15:20",6.06,6.55,0.64,0.64,6.21,5.88,3.13,3.26,0.6,0.6,0.6,0.59,0.65,0.63,0.59,0.6,0.61,0.6,27178.92,63540.05,15159.8,173101.82,670695.44,455496.61,158927.12,168696.95,1016548.09,292073.24,292322.45,43972.69,342864.44,149571.75,1815.81,703.08,263302.97,193593.65
"S1:5","Standard 4","28-04-2025 15:23",12.21,12.25,1.29,1.32,12.42,11.94,6.5,6.23,1.2,1.22,1.24,1.31,1.3,1.27,1.18,1.24,1.21,1.3,51952.34,126809.26,29611.49,345518.95,1352025.81,941521.27,360718.94,342150.75,2045689.72,585615.99,568477.54,86670.59,659029.57,310967.24,3634.13,1363.02,551981.01,384441.6
"S1:6","Standard 5","28-04-2025 15:27",24.03,25.58,2.54,2.46,23.89,23.97,12.23,12.37,2.47,2.57,2.54,2.47,2.44,2.48,2.39,2.41,2.58,2.43,101153.45,261327.46,55263.73,663578.96,2524817.42,1805513.21,736450.59,696758.54,3895915.1,1084122.2,1134977.73,175597.57,1447534.07,679892.95,7395.49,2930.32,1130245.49,752479.59
"S1:7","Standard 6","28-04-2025 15:31",51.15,51.27,5.14,5.19,49.1,50.11,"--","--",5.04,4.88,5.05,4.9,"--","--",4.67,5.14,5.24,4.81,204869.5,498180.36,113905.92,1367163.31,4906351.17,3464331.97,"--","--",7492302.08,2052033.23,2071922.31,354142.4,"--","--",15545.79,5530.69,2259988.76,1477655.76
"01:01","BLK 1","28-04-2025 15:36",3.17,5.07,4.47,4.37,43.59,43.24,1.63,8.46,0.89,0.85,0.19,0.21,5.56,5.3,0.49,"0.68 u",0.27,0.22,141,1390.04,1006.94,11870.94,45212.09,32454.33,1014.12,20432.96,13831.9,3956.51,949.41,144.93,48794.77,12422.74,23.26,8.06,1258.32,743.29
"01:02","BLK 2","28-04-2025 15:39",1.1,3.31,5.29,4.83,40.06,43.17,1.08,6.77,0.68,0.63,0.16,0.15,4.91,4.81,"0.22 u","-0.08 u",0.11,0.08,58.59,1243.97,1216.17,13901.32,47094.18,31917.91,738,18433.74,10913.97,3017.24,797.97,111.87,47127.67,12049.33,15.42,-0.46,617.09,314.4
