"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 15:08",0,0.01,0,0,0,0.01,0,0.01,0,-0.01,0.01,0,0,0.01,0,-0.01,0,0,10.28,827.45,7.12,181.14,18.6,36.71,153.08,16325.93,108.23,49.39,56.61,5.65,19742.61,154.32,7.98,0.5,111.26,96.05
"S1:2","Standard 1","28-04-2025 15:12",1.63,1.52,0.16,0.16,1.5,1.45,0.79,0.75,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,6883.27,17051.54,3865.95,44920.96,174863.09,120469.26,38889.36,53417.92,279643.63,77088.05,71482.22,11212.16,88476.5,36367.97,451.09,186.03,71765.6,44441.51
"S1:3","Standard 2","28-04-2025 15:16",3.25,3.24,0.3,0.3,2.96,3.04,1.5,1.58,0.31,0.3,0.32,0.29,0.3,0.3,0.31,0.31,0.31,0.32,13145.93,33624.97,7595.68,88544.99,321804.59,241395.23,80504.38,82757.9,516200.94,148320.11,137891.38,23119.35,167577.63,70258.12,910.84,373.19,142066.93,90282.69
"S1:4","Standard 3","28-04-2025 15:20",6.3,6.48,0.66,0.64,5.9,6.06,3.27,3.02,0.61,0.66,0.59,0.6,0.63,0.59,0.58,0.61,0.6,0.63,26612.11,66268.83,15476.95,173621.45,695479.37,495996.78,160771.97,164999.53,1092874.65,299620.9,283243.91,44719.7,342957.63,148103.44,1799.83,710.54,282680.67,187173.54
"S1:5","Standard 4","28-04-2025 15:23",12.96,12.55,1.29,1.2,11.93,12.34,6.06,6.45,1.31,1.31,1.29,1.25,1.3,1.28,1.19,1.28,1.23,1.31,51600.07,127669.02,27848,325443.73,1357437.87,968813.53,358050.87,317893.28,2112739.18,590814.94,543349.23,92809.47,695492.3,331949.5,3752.38,1370.09,540590.04,390081.07
"S1:6","Standard 5","28-04-2025 15:27",25.23,24.89,2.58,2.52,24.8,24.26,12.38,12.81,2.54,2.38,2.56,2.42,2.42,2.39,2.52,2.4,2.53,2.57,105778.12,246766.23,52930.44,702854.33,2439262.66,1789124.96,766690.48,688638.64,3799401.1,1083386.35,1109248.05,184160.35,1332835.99,707393.04,7287.71,2905.3,1094665.78,747652.06
"S1:7","Standard 6","28-04-2025 15:31",48.82,48.94,4.9,4.87,49.66,50.89,"--","--",5.06,4.91,5.18,4.99,"--","--",4.67,4.76,5.18,5.21,220590.45,500195.85,115026.86,1374194.83,4785270.75,3354347.5,"--","--",7113002.73,2148943.93,2057892.1,346917.57,"--","--",15516.54,5482.93,2211364.08,1465011.98
"01:01","BLK 1","28-04-2025 15:36",3.07,5.47,4.35,4.1,43.34,44.48,1.75,9.11,0.87,0.79,0.21,0.21,5.57,5.19,0.48,"0.68 u",0.26,0.24,143.91,1368.59,961.6,11639.56,44122.12,31538.87,953.25,20768.3,13587.4,3646.53,926.54,150.94,48029.15,13019.24,22.7,8.18,1277.11,762.1
"01:02","BLK 2","28-04-2025 15:39",1.06,3.43,5.27,4.86,42.95,43.18,1.15,6.68,0.65,0.66,0.16,0.15,4.93,4.87,"0.22 u","-0.08 u",0.11,0.08,58.38,1189.92,1239.21,14089.85,44801.63,33171.94,726.31,19340.41,10500.6,2922.76,813.34,116.45,45396.26,12024.46,15.22,-0.47,616.29,333.66
"01:03","BLK 3","28-04-2025 15:43",0.55,1.91,3.45,3.49,40.62,39.79,0.81,6.22,0.37,0.37,0.16,0.14,3.04,2.9,"0.08 u","0.01 u",0.08,0.04,33.03,1062.17,772.33,9922.64,42795.22,28692.45,543.25,19184.89,6428.65,1719.26,774.11,108.42,34415.19,6897.81,10.81,0.65,446.36,223.72
"S1:8","QC MES 5 ppm","28-04-2025 15:47",4.97,5.04,4.92,4.48,4.71,4.9,5.57,5.16,4.92,4.73,4.68,4.9,5.03,4.99,5.07,4.97,4.57,4.65,21649.56,49697.37,109409.57,1231166.33,548331.38,368459.03,278874.61,245225.05,7270426.41,2164352.7,2210138.58,349388.31,2407528.89,1189810.84,14375.23,5655.74,2025812.76,1418871.04
"S1:9","SJS-Std","28-04-2025 15:51",77593.72,82926.13,20086.17,18768.67,37867.19,38062.09,24865.16,22619.11,15288.07,14723.59,600.6,555.59,12926.23,12695.83,677.38,825.97,3607.87,3670.68,34170.5,80400.04,46318.62,526164.95,384959.72,289299.68,126161.4,126311.49,2415499.56,734598.01,25671.96,4306.88,671943.39,335103.31,205.92,91.12,149113.52,102095.41
"S1:9","SJS-Std","28-04-2025 15:55",80121.8,80749.81,20037.44,19786.04,37505.32,36407.23,24049.7,22611.36,15821.11,15754.28,595.85,588.54,12476.72,12544.54,653.68,753.83,3354.2,3528.71,34238.74,82144.13,46519.5,525788.02,420825.52,281742.41,125240.78,127622.2,2418253.73,720596.35,25446.14,4240.79,632112.13,314779.52,218.87,86.88,158385.05,105821.96
"S1:9","SJS-Std","28-04-2025 15:59",81190.45,76615.6,20492.43,19612.77,36198.8,38118.27,23583.85,24388.9,15526.78,15691.53,598.18,568.6,12999.58,13435.43,647.22,777.53,3570.23,3460.44,32587.19,78029.38,46959.05,549011.07,395264.91,290544.1,126456.55,127900.14,2509840.6,722711.09,27128.31,4071.38,697665.29,323258.09,210.84,85.21,157327.5,102752.33
"01:04","MCS 575","28-04-2025 16:03",83118.94,78496.19,1444.6,1474.54,37357.64,39882.12,27768.78,25381.22,7239.89,7219.52,717.04,759.49,4226.27,3912.41,394.59,430.39,4364.37,4441.68,89712.69,200136.17,8323.41,100878.44,1052877.69,742746.99,316961.84,294907.08,2950268.82,859408.89,80235.29,13204.47,542114.41,260652.46,326.26,127.8,493888.93,327544.76
"01:05","MCS 576","28-04-2025 16:07",74484.86,71624.82,2124.12,2152.17,40194.6,38669.23,24846.67,26360.9,9152.84,9395.51,677.86,730.17,5894.53,6303.8,716,775.85,4136.72,4076.74,80453.4,204964.88,13055.13,154452.79,1109132.17,761481.61,361793.87,307353.71,4167206.4,1157017.23,86714.31,13275.18,844291.4,399674.63,598.45,243.23,505924.05,316265.95
"01:06","MCS 577","28-04-2025 16:11",92232.9,92866.15,1234.31,1153.74,45100.76,49253.93,31638.05,29127.89,9109.78,9675.54,327.07,344.46,3479.45,3606.17,503.72,608.97,5417.49,5625.64,105630.1,234408.22,7027.83,79731.56,1266361.97,950503.76,387094.44,380084.42,3952803.76,1079879.16,37415.72,6372.45,461873.37,222164.98,395.65,178.5,610945.81,425997.89
"01:07","MCS 578","28-04-2025 16:15",92996.05,89112.8,753.8,816.39,40722.93,40508.41,32272.58,33538.07,8674.34,8314.65,620.14,669.79,3235.17,3545.41,361.28,363.29,5280.54,4972.64,104144.18,260472.34,4775.78,62636.42,1194295.65,878759.22,445719.39,430361.73,4005539.5,1099127.55,78371.61,12686.3,492984.49,225017.26,298.5,123.11,596347.63,399534.3
"01:08","MCS 579","28-04-2025 16:19",73284.42,73791.85,1190.48,1199.89,34633.06,32841.11,25473.15,24377.17,6734.97,6609.18,573.34,606.22,3804.98,3958.29,404.07,452.11,4305.11,4537.66,90657.16,211835.08,7954.86,87129.47,1000494.01,715484.22,339092.72,305682.31,3134852.45,861272.67,76670.5,11345.54,573062,277726.47,371.55,138.15,511915.82,367279.96
"01:09","MCS 580","28-04-2025 16:23",110844.45,109772.77,1405.75,1480.69,50063.3,51026.93,36521.04,35413.85,9728.05,9819.51,684.07,725.07,3765.69,3774.31,749.79,856.98,6544.84,6445.46,120404.91,304455.21,9321.04,109168.25,1413419.28,1053425.06,518889.67,476684.8,4282145.73,1203938.47,85964.45,13389.31,543920.78,255014.54,648.3,247.15,741138.88,480402.98
"01:10","MCS 581","28-04-2025 16:27",96048.19,96259.95,1044.36,1132.25,44806.88,46215.78,30954.74,30901.14,8997.93,9431.98,533.38,559.69,4194.48,3900.02,462.69,460.74,5706.81,5728.41,95650.1,244262.28,6127.35,76550.28,1196371.91,828404.56,377393.91,372036.04,3892530.76,1060561.97,59665.71,9786.73,492579.88,232715.36,355.97,133.19,626099.66,408784.92
"01:11","MCS 582","28-04-2025 16:31",77159.84,79680.6,1355.29,1397.01,39058.45,41125.23,26045.08,25268.46,8133.89,8712.62,565.11,549.8,2950.42,2829.16,339.24,374.88,5042.67,4737.67,79521.07,181087.89,7703.35,90262.4,1026964.3,734936.85,323651.03,275787.79,3065164.18,878758,56166.81,9395.19,337090.48,167042.71,237.86,96.46,485672.67,321450.92
"01:12","MCS 583","28-04-2025 16:35",90071.25,83649.96,1783.3,1929.48,39368.04,40944.27,26354.68,27446.42,7585.79,7701.78,463.18,490.37,5075.72,5028.51,553.36,582.9,4872.88,4815.21,94694.68,242983.34,11502.12,126466.19,1145268.41,789173.15,364961.56,315803.55,3201019.17,924127.18,56233.27,9578.21,670384.39,343277.09,441.58,186.81,542965.75,385356.2
