"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"Rack:Tube","Solution Label","Timestamp","Al 237.312 nm ppm","Al 308.215 nm ppm","Ca 315.887 nm ppm","Ca 422.673 nm ppm","Fe 238.204 nm ppm","Fe 259.940 nm ppm","K 766.491 nm ppm","K 769.897 nm ppm","Mg 279.553 nm ppm","Mg 280.270 nm ppm","Mn 257.610 nm ppm","Mn 293.931 nm ppm","Na 588.995 nm ppm","Na 589.592 nm ppm","P 213.618 nm ppm","P 214.914 nm ppm","Ti 334.941 nm ppm","Ti 336.122 nm ppm","Al 237.312 nm c/s","Al 308.215 nm c/s","Ca 315.887 nm c/s","Ca 422.673 nm c/s","Fe 238.204 nm c/s","Fe 259.940 nm c/s","K 766.491 nm c/s","K 769.897 nm c/s","Mg 279.553 nm c/s","Mg 280.270 nm c/s","Mn 257.610 nm c/s","Mn 293.931 nm c/s","Na 588.995 nm c/s","Na 589.592 nm c/s","P 213.618 nm c/s","P 214.914 nm c/s","Ti 334.941 nm c/s","Ti 336.122 nm c/s"
"S1:1","Blank","28-04-2025 16:38",-0.01,0,-0.01,0,-0.01,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0,-0.01,0.01,9.69,844.85,6.97,178.58,17.16,36.61,155.38,16615.55,100.17,48.91,56.39,5.27,20836.61,155.81,8,0.5,106.31,96.12
"S1:2","Standard 1","28-04-2025 16:42",1.56,1.57,0.16,0.17,1.56,1.43,0.76,0.77,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.15,0.16,6985.27,17316.02,3882.97,47517.64,167252.21,122176.26,36488,51451.24,274033.82,74188.99,70597.54,11491.12,91187.15,33995.29,483.18,175.49,69661.71,48254.67
"S1:3","Standard 2","28-04-2025 16:46",3.25,3,0.31,0.3,3.14,2.94,1.62,1.55,0.31,0.32,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.31,13359.6,32739.66,7661.87,87676.06,343946.69,241237.2,79759.15,86846.21,526787.46,151799.33,140001.99,22601.24,166792.76,67703.71,905.87,374.51,131002.79,92444.11
"S1:4","Standard 3","28-04-2025 16:50",6.34,6.48,0.63,0.66,5.87,5.93,3.26,3.1,0.66,0.64,0.65,0.6,0.63,0.64,0.61,0.6,0.61,0.65,26807.99,62569.42,14820.47,175774.09,643639.8,485174.92,169593.23,160357.35,1058881.6,292070.06,272085.52,47572.65,343205.32,152835.56,1804.11,726.01,269124.37,187810.73
"S1:5","Standard 4","28-04-2025 16:53",12.45,12.44,1.21,1.22,12.54,11.85,6.15,6.23,1.32,1.21,1.3,1.29,1.3,1.2,1.23,1.21,1.27,1.24,52455.2,132229.47,28090.24,345779.79,1355977.28,908542.54,364604.65,339764.04,2148123.69,573532.12,549589.66,88352.12,666685.96,330919.99,3715.29,1440.21,576182.33,369642.38
"S1:6","Standard 5","28-04-2025 16:57",25.95,25.01,2.63,2.62,23.8,25.01,12.79,12.38,2.4,2.59,2.38,2.45,2.6,2.4,2.41,2.57,2.39,2.48,101964.11,254457.29,57425.72,646262.68,2485120.75,1767412.32,769795.34,658911.54,3806112.3,1106718.59,1130867.06,180925.52,1359779.88,653050.92,7413.62,2909.13,1075810.44,741227.97
"S1:7","Standard 6","28-04-2025 17:01",49.37,49.69,5.11,5.3,48.11,48.38,"--","--",4.91,4.78,4.8,5.02,"--","--",4.82,4.74,5.18,5.03,220634.76,517555.22,106836.51,1330033.9,4994732.87,3324712.71,"--","--",7177252.31,2137274.98,2062970.53,351500.5,"--","--",15401.36,5730,2216127.48,1524769.48
"01:01","BLK 1","28-04-2025 17:06",3.17,4.96,4.16,4.38,43.28,44.77,1.66,8.97,0.84,0.8,0.2,0.2,5.55,5.53,0.5,"0.68 u",0.27,0.23,145.7,1371.59,1025.22,11277.14,46514.2,32142.27,987.87,20105.63,13544.96,3818.49,973.57,142.75,47797.32,13335.57,22.79,8.5,1247.65,760.05
"01:02","BLK 2","28-04-2025 17:09",1.06,3.21,4.88,5.3,42.81,42.87,1.07,6.32,0.63,0.63,0.16,0.16,5.36,4.73,"0.22 u","-0.08 u",0.11,0.08,58.01,1213.35,1163.7,13665.98,46304.04,30811.95,733.86,19829.89,11016.3,2947.18,761.12,120.49,45940.68,11847.33,14.25,-0.48,610.89,311.19
